DATE,Search With Part No ||Part Name,"M/C
 No","M/B 
Ton",Shift,Part Number,Part Name,"Material 
Name",Grade,No. of Manpower,Cavity,BOP,Shift Time (Hrs),Cycle Time (Sec), ,Plan /Hour [Nos],Plan QTY,Achive_Qty,Ok Qty,Silver,Part Catchup,Half shot,9,Flow mark,Shrinkage,Black spot,Oil/spray Mark,Hole Block,Blow Hole,colour variation,Over Cut,Bubble,ID Over Size,ID under size,Line Mark,Pit Mark,Trials Rej,Others Rej.,Start up Rej.,Total Rej.,PPM,"Part Wt.
[Gms]",Runner Wt.(Gms),Ok Part In Kgs,Runner In Kgs,Rejection In Kgs,Lumps Kgs,Total RM In Kgs,RG Usage,RG Consumption ( +ve / - ve ),"Rejection
 [%]","Waste
[%]",Total Time (Mins),Available Time (Mins),Operating Time (Mins),Mould,Machine,Power cut,Manpower,Packaging,Grinding,Nozzle /HRS,Others,Leakage,Raw material,Proccesing,Preheating Time,Start up,No plan,"Mold change 
( SMED )",Total Down Time,Planed Down Time,Unplaned Down Time,Quality %,Production %,Availability %,Utilization %,O.E.E,Remark,Cost Of Part,Cost Of OK Production,Cost Of Rejection,Rej Qty/OK Qty,PPM Function,UG REJECTION,Cost Of Rejection UG,Month
23-Oct-22,BEZEL - FC430168 - MO- 21PR01039,2,450 T,Day,21PR01039,BEZEL - FC430168 - MO,PPTF,XPPA11805,2,1,450 T,12,65,,55,665,158,158,,,,,,,,,,,,,,,,,,,,,0,0,260,8,41.08,1.264,0,,42.344,,-1.264,0,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,100%,24%,100%,100%,24%,,89.56,14150.48,0,0,0,,0,Oct-22
23-Oct-22,PLASTIC SHROUD 307T - A5FWF0205M02 - MO- 21TA00003,2,450 T,Day,21TA00003,PLASTIC SHROUD 307T - A5FWF0205M02 - MO,PP 30% GF,SEB300,2,1,450 T,12,120,,30,360,178,159,9,,5,,,,,,,,,,,,,,,,,5,19,10674.1573,900,10,143.1,1.78,17.1,,161.98,50,31.12,0.11,0,720,675,630,,,,,,,,,,,,,,,45,45,45,0,89%,49%,94%,93%,41%,start up and half shot,187,29733,3553,0,19000000,,0,Oct-22
23-Oct-22,DIA 8.2 FEMALE PLUG FOR DOOR - F6B00410 - MO- 21AL01047,4,100 T,Day,21AL01047,DIA 8.2 FEMALE PLUG FOR DOOR - F6B00410 - MO,NYLON 6,SA102,1,7,100 T,12,25,,1008,12096,5684,5552,,,132,,,,,,,,,,,,,,,,,,132,2322.308234,12,8,66.624,45.472,1.584,,113.68,,-47.056,0.02,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,98%,47%,100%,100%,46%,,2.25,12492,297,0,132000000,,0,Oct-22
23-Oct-22,CAP AE - SH385A1801 - MO- 21MA00005,5,250 T,Day,21MA00005,CAP AE - SH385A1801 - MO,NYLON 66,ZYTEL 3189,1,4,250 T,12,45,,320,3840,3744,3694,48,,2,,,,,,,,,,,,,,,,,,50,1335.470085,24,2,88.656,7.488,1.2,,97.344,,-8.688,0.01,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,99%,98%,100%,100%,96%,,19.4,71663.6,970,0,50000000,,0,Oct-22
23-Oct-22,DIRT SHIELD - M06431855 - MO- 21TE00034,6,5 L,Day,21TE00034,DIRT SHIELD - M06431855 - MO,TPEE,5401,1,1,5 L,12,30,,120,1440,1440,1387,,,,,,,,,,,,8,45,,,,,,,,53,3680.555556,55,35,76.285,50.4,2.915,,129.6,175,121.685,0.04,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,96%,100%,100%,100%,96%,,63.27,87755.49,3353.31,0,53000000,,0,Oct-22
23-Oct-22,DIRT SHIELD - M06431849 - MO- 21TE00027,7,5 L,Day,21TE00027,DIRT SHIELD - M06431849 - MO,HDPE,B56003,1,1,5 L,12,33,,109,1309,881,820,,,,,,,,,,,,3,58,,,,,,,,61,6923.950057,38,22,31.16,19.382,2.318,,52.86,75,53.3,0.07,0,720,720,480,,,,,,,,,,,,,,240,,0,240,0,93%,67%,100%,67%,63%,,10.54,8642.8,642.94,0,61000000,,0,Oct-22
23-Oct-22,BUMPER CAP REAR - M06901003 - MO- 21TE00042,8,80 T,Day,21TE00042,BUMPER CAP REAR - M06901003 - MO,Nylon 66,A3WG3,1,1,80 T,12,31,,116,1394,1319,1305,14,,,,,,,,,,,,,,,,,,,,14,1061.410159,20,2,26.1,2.638,0.28,,29.018,,-2.918,0.01,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,99%,95%,100%,100%,94%,,22.34,29153.7,312.76,0,14000000,,0,Oct-22
23-Oct-22,DIRT SHIELD - M06431856 - MO- 21TE00035,9,2 L,Day,21TE00035,DIRT SHIELD - M06431856 - MO,HDPE,B56003,1,1,2 L,12,32,,113,1350,1440,1418,,,,,,,,,,,,2,20,,,,,,,,22,1527.777778,44,17,62.392,24.48,0.968,,87.84,,-25.448,0.02,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,98%,107%,100%,100%,105%,,10.93,15498.74,240.46,0,22000000,,0,Oct-22
23-Oct-22,BUMPER CAP FRONT - M06901019 - MO- 21TE00041,10,80T,Day,21TE00041,BUMPER CAP FRONT - M06901019 - MO,Nylon 66,A3WG3,1,1,80T,12,35,,103,1234,941,941,,,,,,,,,,,,,,,,,,,,,0,0,52,3,48.932,2.823,0,,51.755,,-2.823,0,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,100%,76%,100%,100%,76%,,37.67,35447.47,0,0,0,,0,Oct-22
23-Oct-22,COVER INSTRUMENT PANEL CLUSTER SHROUD FR - FC430268 - MO- 21PR01044,1,1100 T,Night,21PR01044,COVER INSTRUMENT PANEL CLUSTER SHROUD FR - FC430268 - MO,PPTF,XPPA11805 + XPPA5407,2,1,1100 T,12,90,,40,480,336,328,,,4,,4,,,,,,,,,,,,,,,,8,2380.952381,1400,20,459.2,6.72,11.2,,477.12,,-17.92,0.02,0,720,540,540,,,,,,,,180,,,,,,,,180,0,180,98%,70%,75%,100%,51%,,328.77,107836.56,2630.16,0,8000000,,0,Oct-22
